"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.7.TMT1"	"Reporter.intensity.corrected.8.TMT1"	"Reporter.intensity.corrected.9.TMT1"	"Reporter.intensity.corrected.10.TMT1"	"Reporter.intensity.corrected.1.TMT2"	"Reporter.intensity.corrected.2.TMT2"	"Reporter.intensity.corrected.3.TMT2"	"Reporter.intensity.corrected.4.TMT2"	"Reporter.intensity.corrected.5.TMT2"	"Reporter.intensity.corrected.6.TMT2"	"Reporter.intensity.corrected.7.TMT2"	"Reporter.intensity.corrected.8.TMT2"	"Reporter.intensity.corrected.9.TMT2"	"Reporter.intensity.corrected.10.TMT2"	"Reporter.intensity.corrected.1.TMT3"	"Reporter.intensity.corrected.2.TMT3"	"Reporter.intensity.corrected.3.TMT3"	"Reporter.intensity.corrected.4.TMT3"	"Reporter.intensity.corrected.5.TMT3"	"Reporter.intensity.corrected.6.TMT3"	"Reporter.intensity.corrected.7.TMT3"	"Reporter.intensity.corrected.8.TMT3"	"Reporter.intensity.corrected.9.TMT3"	"Reporter.intensity.corrected.10.TMT3"	"Reporter.intensity.corrected.1.TMT4"	"Reporter.intensity.corrected.2.TMT4"	"Reporter.intensity.corrected.3.TMT4"	"Reporter.intensity.corrected.4.TMT4"	"Reporter.intensity.corrected.5.TMT4"	"Reporter.intensity.corrected.6.TMT4"	"Reporter.intensity.corrected.7.TMT4"	"Reporter.intensity.corrected.8.TMT4"	"Reporter.intensity.corrected.9.TMT4"	"Reporter.intensity.corrected.10.TMT4"
"P29966"	3426300	3528666.66666667	3094966.66666667	2885666.66666667	2883033.33333333	2870433.33333333	2029566.66666667	1808566.66666667	1747600	2309466.66666667	4311000	3036433.33333333	3851000	2769666.66666667	2874566.66666667	2798866.66666667	1997700	1967733.33333333	2083800	2358333.33333333	1280900	1138833.33333333	1090000	2473700	2143500	2535000	2417333.33333333	2331766.66666667	2623400	1933400	4168133.33333333	3042300	4247900	1513933.33333333	1498766.66666667	1613966.66666667	3930766.66666667	3237066.66666667	3422900	2736100
"Q1KMD3"	1476800	1836433.33333333	1310966.66666667	1699100	1683666.66666667	1685033.33333333	2179933.33333333	2362566.66666667	2350200	1851633.33333333	1179980	820813.333333333	844556.666666667	1502400	1329753.33333333	1078770	1188446.66666667	1252113.33333333	1129440	1241683.33333333	3298433.33333333	2829266.66666667	2782066.66666667	1014556.66666667	910106.666666667	943260	1329696.66666667	1225256.66666667	1192430	1133660	1326733.33333333	1403433.33333333	1248786.66666667	2608766.66666667	2757866.66666667	2816233.33333333	1601833.33333333	1227233.33333333	1360466.66666667	1271706.66666667
"Q96CS2"	33323.0666666667	29223.8666666667	27043.5666666667	40954.8	34831.4333333333	39621.3666666667	17953.2666666667	16093.4333333333	15806.9	26404.8333333333	38243.3333333333	31215	31510.3333333333	40356.3333333333	37972.6666666667	41249	20593	20919.3333333333	18796.3333333333	29134.3333333333	12380.5666666667	8676.85	8015.5	7640.8	10424.45	8621.8	7695.04666666667	7698.53333333333	9359.76666666667	8303.55	19711.75	22130.85	23127.4	10418.95	9865.65	11356.5	17168.2	15295.95	16709.4	13182.1
"Q13751"	828253.333333333	762936.666666667	666683.333333333	157330	156653.333333333	148473.333333333	439073.333333333	381893.333333333	380050	324200	676166.666666667	492966.666666667	572820	163906.666666667	151376.666666667	161073.333333333	402990	382400	415356.666666667	280190	73457.3333333333	61559.3333333333	63115.6666666667	491813.333333333	435740	455423.333333333	27325.6666666667	30089	32542	193013.333333333	494083.333333333	522216.666666667	470600	76836	82637.6666666667	92685.3333333333	76330	68938	59948.6666666667	209103.333333333
"Q9Y613"	665543.333333333	568486.666666667	472753.333333333	401910	348646.666666667	408056.666666667	408816.666666667	361933.333333333	343976.666666667	383970	698710	464420	577183.333333333	274876.666666667	257530	258583.333333333	199526.666666667	194546.666666667	215283.333333333	369840	201609.333333333	153175.333333333	162107	402570	368543.333333333	398140	356903.333333333	347740	392366.666666667	221860	599573.333333333	562073.333333333	401903.333333333	304176.666666667	270240	299753.333333333	546840	434423.333333333	507353.333333333	341180
"Q9UHB6"	1241446.66666667	1145160	984736.666666667	1084850	1105200	1004700	1873166.66666667	1605366.66666667	1695733.33333333	1163336.66666667	1297813.33333333	1004653.33333333	1010756.66666667	1060956.66666667	1059783.33333333	983330	1499470	1351736.66666667	1457203.33333333	1084720	564873.333333333	458676.666666667	463666.666666667	839710	730746.666666667	740956.666666667	1278550	1151903.33333333	1248050	726666.666666667	947153.333333333	959606.666666667	781493.333333333	455046.666666667	436313.333333333	471790	1556833.33333333	1271573.33333333	1518433.33333333	837496.666666667
"Q99707"	257670	212103.333333333	206086.666666667	145766.666666667	125043.333333333	142193.333333333	130846.666666667	114636.666666667	122953.333333333	142530	339076.666666667	250226.666666667	272993.333333333	169636.666666667	182713.333333333	177273.333333333	157270	147303.333333333	176023.333333333	192883.333333333	196130	163856.333333333	168150	268383.333333333	206313.333333333	234673.333333333	102336.666666667	93071.3333333333	107456	156181.333333333	234933.333333333	231916.666666667	223210	100796	104921.333333333	115770	86418.6666666667	63597.3333333333	74067.6666666667	119016.666666667
"O95425"	575786.666666667	527780	475230	637306.666666667	577533.333333333	621643.333333333	303953.333333333	277250	285453.333333333	418960	469233.333333333	369200	355006.666666667	575460	572720	525746.666666667	179476.666666667	188246.666666667	202080	331013.333333333	384230	324310	298880	401896.666666667	383583.333333333	381613.333333333	265323.333333333	280983.333333333	318813.333333333	280803.333333333	370546.666666667	366223.333333333	297473.333333333	249060	242623.333333333	275830	276426.666666667	231123.333333333	279380	259270
"D6RJH2"	11825.25	9840.5	8969.8	13289.5	13752	15135.5	23546	20367.5	19389	15491	11695.1	9872.56666666667	9862.73333333333	11621.1333333333	11063.7666666667	12097.8333333333	14379.6333333333	16656.9	17276	11209.5666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"S5FZ81"	23545.2666666667	20885.3333333333	19064.0333333333	26921.4333333333	23087.7666666667	27626.6666666667	16412.0666666667	14655.5333333333	14845.6666666667	22924.8666666667	7730.95	4598.6	7978.7	6832.35	11726.25	9268.8	3634.4	7248	4664.25	6753.85	27673	27033	29822	16396	20291	17822	11075	10433	18808	14378	11526	6631.8	5931.8	10522.5	8853.15	15196	10358	4159.31	3109.365	5808.7
"Q9P253"	157160	136667	137506	105882	88241.6666666667	100138.666666667	127193.333333333	113850	110841	125290.333333333	206006.666666667	150563.333333333	168473.333333333	108420	112813.333333333	101302	135063.333333333	136813.333333333	139820	136656.666666667	275186.666666667	225970	210523.333333333	202303.333333333	181873.333333333	184140	146761.333333333	127377.333333333	152146.666666667	133574.333333333	243763.333333333	242536.666666667	188513.333333333	216583.333333333	207466.666666667	226126.666666667	169313.333333333	129390	146903.333333333	160640
"Q52LJ0"	762453.333333333	787803.333333333	638106.666666667	508753.333333333	516116.666666667	549776.666666667	917980	811880	862743.333333333	582790	536946.666666667	367330	437256.666666667	381316.666666667	365700	329630	536986.666666667	524216.666666667	531003.333333333	348316.666666667	320940	278083.333333333	285853.333333333	431246.666666667	361763.333333333	373476.666666667	169900	149349.333333333	167443.666666667	288433.333333333	434740	483923.333333333	455266.666666667	270666.666666667	267486.666666667	260316.666666667	171216.666666667	147804.333333333	162262.666666667	316680.666666667
"Q9NW13"	608836.666666667	541930	474756.666666667	524270	494153.333333333	505003.333333333	474170	407156.666666667	419330	541730	618206.666666667	431963.333333333	521720	437186.666666667	433573.333333333	399610	337050	353950	336146.666666667	472333.333333333	581083.333333333	500400	514453.333333333	365893.333333333	308643.333333333	304436.666666667	437546.666666667	376183.333333333	364690	284803.333333333	377176.666666667	361296.666666667	339853.333333333	498526.666666667	481390	517626.666666667	440406.666666667	384193.333333333	438910	291583.333333333
"P40818"	354756.666666667	300063.333333333	295099.333333333	231701	226717.333333333	231375.666666667	373170	329170	343980	361700	399146.666666667	272119	321828.666666667	223378	224683.666666667	214887	351423.333333333	324126.666666667	343220	366510	864786.666666667	648996.666666667	721493.333333333	232796.666666667	208750	228493.333333333	188483.333333333	162422.666666667	176750	208660	230350	247316.666666667	227753.333333333	649936.666666667	635573.333333333	690696.666666667	178920	147193.333333333	174656.666666667	221513.333333333
"Q9P260"	128274.666666667	111783	113190	66216	66246.3333333333	68228.3333333333	58449.3333333333	55458	57233	90415.3333333333	105186.666666667	72336.6666666667	78211.6666666667	40213.6666666667	45086	45036	34114	33897.6666666667	37711.6666666667	69040.3333333333	103261	79683	82365	122980.666666667	99346	111288	139094.333333333	128881.666666667	151573.333333333	73982.3333333333	168663.333333333	170733.333333333	159603.666666667	108268.333333333	107737.333333333	119120.666666667	197850	159495	202383.333333333	106239.333333333
"P42338"	89656	74671.6666666667	66997.3333333333	52233	47974	50156.6666666667	74499.6666666667	64312.3333333333	72593.6666666667	85381.6666666667	103616	69669.3333333333	87093.3333333333	53988	50629.6666666667	52714	71805	75502.6666666667	76843	82381.6666666667	78618.3333333333	65912.6666666667	69081.3333333333	41209	35499.3333333333	39707.6666666667	56633.6666666667	49092.3333333333	56471.3333333333	34747.3333333333	113174	116507.333333333	107885.333333333	152726.666666667	155890	157796.666666667	143673.333333333	111891.666666667	141400	89548.3333333333
"Q8IWB7"	246386.666666667	256960	216966.666666667	260676.666666667	262470	264763.333333333	128799	126926.666666667	128584.333333333	212136.666666667	534896.666666667	394086.666666667	428700	529570	526030	475686.666666667	236170	239226.666666667	246683.333333333	413946.666666667	468433.333333333	421273.333333333	421883.333333333	353773.333333333	290480	327763.333333333	320510	280943.333333333	323246.666666667	260140	477896.666666667	440546.666666667	283113.333333333	499416.666666667	487266.666666667	488920	446103.333333333	313146.666666667	375130	326980
"Q92614"	274233.333333333	265933.333333333	237610	343583.333333333	301930	325106.666666667	688350	639993.333333333	676236.666666667	399673.333333333	377793.333333333	251140	299150	365456.666666667	385626.666666667	355080	864220	888490	858626.666666667	453020	321903.333333333	265573.333333333	258556.666666667	216036.666666667	173253.333333333	246840	658716.666666667	564386.666666667	564973.333333333	275340	212153.333333333	200936.666666667	150733.333333333	304646.666666667	284786.666666667	315166.666666667	733273.333333333	566426.666666667	714146.666666667	330180
"Q9HCS7"	214323.333333333	191223.333333333	176243.333333333	197226.666666667	166610	189452.333333333	323446.666666667	319650	297036.666666667	191050	280930	216543.333333333	227046.666666667	311993.333333333	277270	263693.333333333	382546.666666667	382673.333333333	391066.666666667	233543.333333333	202933.333333333	159389.333333333	155830	154156.666666667	126030.333333333	136141.666666667	148404.666666667	146253	140440	137126.666666667	134364.333333333	129756	109956	117573	128674.333333333	118794.666666667	131298.666666667	91313.6666666667	116991.333333333	121732.666666667
"Q9BZL4"	38829.6666666667	29779.3333333333	31596	35433	37435.6666666667	38729	27202.3333333333	24440.6666666667	27922.3333333333	30637	80314.6666666667	55076.6666666667	62557.3333333333	65925	72609.6666666667	66283.6666666667	62497.3333333333	59563.6666666667	64945.3333333333	63448.3333333333	123379.666666667	106770.666666667	103467.666666667	73851	67008.3333333333	74214.3333333333	74558.3333333333	75527.3333333333	74184.6666666667	68486.6666666667	77156	88516.6666666667	69767.3333333333	113701.333333333	111651.333333333	126506.333333333	96518	73038.3333333333	89006	74986.3333333333
