"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.1.TMT2"	"Reporter.intensity.corrected.2.TMT2"	"Reporter.intensity.corrected.3.TMT2"	"Reporter.intensity.corrected.4.TMT2"	"Reporter.intensity.corrected.5.TMT2"	"Reporter.intensity.corrected.6.TMT2"
"Q9CWR1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"A0A494B9K8"	54468	33957	29977	21505	35768	27763	NA	NA	NA	NA	NA	NA
"Q8BGS2"	660990	521420	529580	346840	795030	496200	269075	252219.5	230685	141467.866666667	233980	252265
"Q3TMQ8"	NA	NA	NA	NA	NA	NA	5703	5454.5	6222.1	1663.9	4300.5	4307.1
"Q91W61"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B1B0B8"	169750	186010	174410	122630	256700	133150	NA	NA	NA	NA	NA	NA
"Q80ZI6"	40262	20889	23717	14181	12078	26649	NA	NA	NA	NA	NA	NA
"A2APX8"	NA	NA	NA	NA	NA	NA	163547.366666667	164254.566666667	220211.733333333	233993.5	103143.266666667	454841
"Q9D7M1"	NA	NA	NA	NA	NA	NA	264930	223540	255165	267960	139995	317960
"Q6NSQ9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q58E59"	339070	383910	293990	223580	410450	373060	197090	230910	171910	187070	107190	174540
"Q5NCT1"	512640	471480	556930	294980	450110	270430	NA	NA	NA	NA	NA	NA
"C9K0Z8"	NA	NA	NA	NA	NA	NA	37486	27628	29373	28816	14064	27968
"G5E8I4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q3TWV0"	188510	670340	98654	53162	150840	49377	221120	419240	211640	161550	123240	261200
"Q8K0I5"	224280	243220	214270	149710	257390	138650	72152	66103	76082	50963	25185	69820
"F6W5Q8"	1181300	1155900	973390	707680	673340	941620	NA	NA	NA	NA	NA	NA
"Q9D6C8"	205630	297643.333333333	132777	151938.333333333	204890	181199.333333333	627985	652365	539320	425590	323930	469545
