"id"	"Reporter.intensity.corrected.1.TMT3"	"Reporter.intensity.corrected.2.TMT3"	"Reporter.intensity.corrected.3.TMT3"	"Reporter.intensity.corrected.4.TMT3"	"Reporter.intensity.corrected.5.TMT3"	"Reporter.intensity.corrected.6.TMT3"	"Reporter.intensity.corrected.7.TMT3"	"Reporter.intensity.corrected.8.TMT3"	"Reporter.intensity.corrected.9.TMT3"	"Reporter.intensity.corrected.10.TMT3"	"Reporter.intensity.corrected.1.TMT4"	"Reporter.intensity.corrected.2.TMT4"	"Reporter.intensity.corrected.3.TMT4"	"Reporter.intensity.corrected.4.TMT4"	"Reporter.intensity.corrected.5.TMT4"	"Reporter.intensity.corrected.6.TMT4"	"Reporter.intensity.corrected.7.TMT4"	"Reporter.intensity.corrected.8.TMT4"	"Reporter.intensity.corrected.9.TMT4"	"Reporter.intensity.corrected.10.TMT4"
"P31751"	124174.666666667	122773	117037.333333333	69927.6666666667	55746.3333333333	66951.3333333333	62189.3333333333	52573	59073	52726.3333333333	130774.666666667	138491.333333333	80360.3333333333	169613.333333333	146843.333333333	156203.333333333	107403	86462.3333333333	101078.666666667	96106.3333333333
"A0A087X2H1"	571413.333333333	507873.333333333	491906.666666667	427953.333333333	347700	372953.333333333	505120	434503.333333333	508133.333333333	370980	284200	293470	338090	287583.333333333	289353.333333333	303103.333333333	397746.666666667	303156.666666667	342230	256983.333333333
"O75306"	428946.666666667	291453.333333333	331450	584266.666666667	560810	563083.333333333	308440	289526.666666667	332883.333333333	342513.333333333	650860	671413.333333333	472913.333333333	291203.333333333	285060	300566.666666667	324920	247236.666666667	253770	354673.333333333
"F5GWT4"	436766.666666667	381060	353786.666666667	531516.666666667	425316.666666667	483246.666666667	360336.666666667	322260	372896.666666667	399903.333333333	343563.333333333	350510	369846.666666667	261656.666666667	262906.666666667	278723.333333333	299826.666666667	245856.666666667	267476.666666667	270253.333333333
"P25705"	5590400	4810966.66666667	4535833.33333333	4216000	3641733.33333333	3787666.66666667	2294866.66666667	2000066.66666667	2149633.33333333	2341400	6164066.66666667	6191233.33333333	5032833.33333333	5650300	5642833.33333333	5717966.66666667	3514833.33333333	2802900	3167066.66666667	3290200
"Q9Y606"	178223.333333333	134297.333333333	156786.666666667	108400.333333333	93707.6666666667	112016.666666667	115987.666666667	102453.333333333	104675	93149.3333333333	152813.333333333	160626.666666667	113666.333333333	197723.333333333	199393.333333333	214500	158032	127126	151932.666666667	114674.333333333
"Q9Y5A9"	576636.666666667	504846.666666667	468730	512790	405656.666666667	472990	466723.333333333	407610	446523.333333333	393470	675130	678286.666666667	612243.333333333	573620	542286.666666667	587213.333333333	628916.666666667	501060	576380	483220
"O76024"	313210	262550	270213.333333333	68733.3333333333	60945	62296.6666666667	143430	137203.333333333	148230	108202.666666667	69251	71564	56264.6666666667	302633.333333333	293006.666666667	323530	170956.666666667	145050	169336.666666667	113932.666666667
"O75190"	389685.5	282054.5	374074	328059.5	248070	306614.5	283640	293700	307299	309230	355493.333333333	365300	239313.333333333	418470	339896.666666667	407610	405060	311686.666666667	343050	353556.666666667
"C9K049"	58999.5	41400.5	57147.5	18275.15	16371.4	16971	19745.4	19384.8	21669.85	21060.25	4797.1	4813.2	5911.2	15442	11029	14560	5678	4023.7	4387.5	4051.5
"Q5SPY9"	2365.4	1227.4	887.65	NA	NA	NA	1058.4	NA	NA	NA	975.15	1332.4	1024.3	3985.7	2923.3	2546.7	1963.5	NA	1290.1	1121.4
"O95363"	86423.6666666667	69439	71847.3333333333	83961.3333333333	83338	80169	70117	53311	57549.3333333333	57399	101325.333333333	100603.333333333	78815.3333333333	87527.6666666667	82493.6666666667	88263.3333333333	86989	70156.6666666667	81052.6666666667	79347.3333333333
"Q96K62"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3966.1	4366.2	4954.7	4150.7	4588.3	4681.9	3365.4	2146.8	1728.9	2991.3
"O43491"	767653.333333333	647870	653196.666666667	350076.666666667	324703.333333333	336536.666666667	167010	138740	168760	288430	428690	448240	464413.333333333	712520	741523.333333333	795923.333333333	240910	204356.666666667	233406.666666667	381030
"O94913"	176842	143018.333333333	141143.333333333	90720.3333333333	86414.6666666667	84633.6666666667	117643	102211.333333333	119957	91692	124556.666666667	122793.333333333	118090	190423.333333333	184136.666666667	179323.333333333	173030	137790	138276.666666667	123196.666666667
"O94875"	7326.7	7328.96666666667	5062.46666666667	146825	123136	128012	4691.36666666667	9331.33333333333	6705.76666666667	46660	134818	137244	122916.666666667	9401	9491.83333333333	9983.1	16324	14787.6666666667	15486	49880.6666666667
"A0A1X7SBZ2"	1562700	1245240	1283796.66666667	1408166.66666667	1208100	1264500	1395666.66666667	1227766.66666667	1197333.33333333	1028743.33333333	1805400	1811900	1797300	1627533.33333333	1618933.33333333	1626200	1817000	1429033.33333333	1679866.66666667	1247873.33333333
"Q69YN2"	350497.666666667	306823	300192.666666667	241807.333333333	212364	243681.333333333	255552	228426.333333333	259652.333333333	201147.333333333	359366.666666667	358053.333333333	261583.333333333	385673.333333333	412083.333333333	408100	286253.333333333	224193.333333333	253226.666666667	273990
"P50213"	1048720	836366.666666667	830400	633580	555126.666666667	617496.666666667	752896.666666667	639860	731306.666666667	506263.333333333	881686.666666667	920733.333333333	711926.666666667	977036.666666667	974540	1010680	1002396.66666667	771136.666666667	867030	625133.333333333
"Q9BPX3"	242786.666666667	205043.333333333	218413.333333333	292150	222183.333333333	257296.666666667	279893.333333333	248013.333333333	273160	241116.666666667	319643.333333333	312250	200786.666666667	205080	191236.666666667	208373.333333333	323753.333333333	255476.666666667	295206.666666667	262070
"P21675"	37511.8666666667	31453.1	31623.7666666667	13145.5666666667	13879.8666666667	12652.3333333333	21666.8333333333	24165.4333333333	29808.0333333333	16966.8	106137	107343.666666667	75347.6666666667	90543.3333333333	84624.3333333333	93869.6666666667	104164.333333333	92449	106768.666666667	82521
"P27338"	585006.666666667	490650	472973.333333333	130500.666666667	107286.666666667	121151.333333333	30455.9	31421.2	35192.2333333333	100949.666666667	61447.3333333333	70464.3333333333	70111.6666666667	422530	401133.333333333	461396.666666667	17532.8	16922.3333333333	15226.7333333333	86373.3333333333
"Q9NUL7"	25989.6666666667	19998.3333333333	22100	35782	30623.6666666667	35665.6666666667	23923	20682.6666666667	26731.3333333333	23699.3333333333	81609.3333333333	86031	75290.3333333333	52925	52984.3333333333	58556.6666666667	62437	54689.6666666667	58133	59550.3333333333
"P20290"	1523786.66666667	1297193.33333333	1252203.33333333	1210743.33333333	963760	1079866.66666667	1093500	907286.666666667	1066780	904180	1196810	1160976.66666667	1085233.33333333	1096210	1058850	1077466.66666667	1092526.66666667	831453.333333333	941486.666666667	829823.333333333
"P42695"	66198	59018.3333333333	62053.6666666667	49338.3333333333	39048	45136.6666666667	48543.6666666667	43076.3333333333	45998	47909.6666666667	34114.6333333333	33964.1666666667	26877.8333333333	22565.8	23678.4	25613.9333333333	24033.7333333333	18095.7666666667	20879.1	28992.1
"Q06323"	4892933.33333333	3951300	4143866.66666667	2329200	1896233.33333333	1948933.33333333	5732666.66666667	4970633.33333333	5510033.33333333	3521066.66666667	1269733.33333333	1384266.66666667	1469133.33333333	2124933.33333333	1724666.66666667	1952000	3671033.33333333	2786966.66666667	3084333.33333333	2131766.66666667
"O95833"	147090.666666667	127406.666666667	123516	50651.6666666667	39420.6666666667	50791	103184.666666667	89213.6666666667	101300	58163.3333333333	102951.333333333	103720	81901.6666666667	168947	182083.333333333	182180	167043.333333333	132316.666666667	143120	110203
"O94903"	294023.333333333	233280.333333333	242996.666666667	234773.333333333	199480	247826.666666667	102162	120129.333333333	122947.333333333	150120.333333333	249856.666666667	239396.666666667	255963.333333333	179170	197790	197156.666666667	125669	98382	108166	140742.666666667
"M0R0W6"	1392	2246.35	1834.98	56198	52696	58457.5	790.095	979.745	2126.5	39754.5	71157	69037.3333333333	75260.6666666667	2089.86666666667	1469.76666666667	2970.36666666667	2385.76666666667	2463.46666666667	2016.3	47769.6666666667
"Q9NPH2"	352553.333333333	294130	321463.333333333	11629.2	4211.31	2871.00333333333	226906.666666667	204886.666666667	219243.333333333	64950	33539	39133	25803	692106.666666667	583213.333333333	657956.666666667	625050	510560	560703.333333333	219169.666666667
