"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.7.TMT1"	"Reporter.intensity.corrected.8.TMT1"	"Reporter.intensity.corrected.9.TMT1"	"Reporter.intensity.corrected.10.TMT1"
"3667"	1043530	1276490	888510	454920	734360	679260	793220	715930	797650	816450
"5089"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4926"	158963	222954	178098	96161	89570.6	116541	103438.5	159644	187450	155357
"5046"	11189307	11540629	38382596	62154003	5173858	25573673	6975356	23383611	13209766	12233749
"5609"	941983	795870	1207810	433515	864515	1112210	888568	924980	696959	1037590
"1748"	998560	2011880	1512747	484540	897963	1526454	894599	1075400	1290086	1298231
"2109"	22357400	23848500	14650500	8760680	32902000	11922210	34321700	13964060	13886270	14782490
"4856"	1411436	1896170	2300196	1049900	1294943	1728550	1402889	1814176	1274821	1425185
"5533"	117384	110135	316630	142474	201711	174983	231111	210213	212504	326270
"4880"	33963	11793	14617	13976	37239	18147	27408	16243	76040	23716
"2198"	6567958	5499925	7933730	4053431	4741101	5471914	5020815	7164161	3360073	5018703
"3864"	162883	227032	116265	131621	90462	115014	76936	150741	176762	302518
"1781"	182519	180939.3	184470	117820.9	102748.6	140070.4	103588.6	207937	212183	181398.7
"3131"	21416257	23674004	16843472	8316639	7899450	11871739	8757412	14273317	19520117	14915564
"1459"	280879	228430	205543	467810	560490	247500	512640	246974	685560	331261
"4260"	3445330	2249078	4177430	4897980	3453120	5515430	3400450	3128660	4845020	2586140
"6090"	266020	133279	239094	650440	427220	415570	402110	317070	264420	242283
"2923"	4187937.2	3366128.9	5407011	1678323.9	1745493.8	3508087	1931791.1	6442000	3718611	3988084
"4916"	791939	692566	686221	615563	298727	782449	324864	556222	790647	529781
"3706"	889346	739502	827415	483514.2	665247.2	651322	591422.2	777158	1063733	780156
"2424"	16599130	8162907	15307630	9329756	13203980	16360000	13594380	14446400	12555470	13490880
"3910"	1918840	1266100	2035470	336997	904560	1375090	989910	1151840	1176620	2306510
"1938"	42673910	41283004	29870081	16534193	55125900	23553247	56040060	27439640	27919177	31892722
"2655"	113087677	93611993	123877650	59577002	47563298	101674453	52502405	96503116	84969219	89265559
"904"	710470	258432	386583	115694	399050	188866	386170	288425	642400	391355
"4535"	17411778	50211230	18054225	6727394	19427500	16904382	19759320	16336800	15466175	16813250
"2721"	2777410	859070.5	3275091	1508221.3	2227860	9492887	2466740	4333132	3368477	3143256
"2240"	1884340	2996480	2951250	1039150	2073520	1748360	2004790	2912310	1260070	1405890
"6549"	3879236	4231188	6398942	2749042	2804355	4408190	3059885	4388213	2515529	3684642
"2043"	11504880	15933310	11543120	5203831	10187461	10684290	10114988	11211590	11114370	10775086
"1185"	11119557	2626525	4949467	4274295	8130627	11939658	7737118	5808138	3648508	4069589
"507"	3092128	3955943	3767470	1741112	3951888	4589589	3960176	4042904	3106971	3147528
"1876"	797644	777260	1188990	488999	892970	2032120	839767	863610	807430	1068870
"1374"	1369220	1646710	1701530	2120540	2066610	1501320	1974500	1681220	2024430	1250130
"2696"	114598	143688	295892	147851	101760	179375	126047	254998	132435	80551
"2876"	660613.1	423405.2	623755	484182.3	566441.6	644526.4	631929.1	547896.3	574783	322833.7
"5445"	1033000	1185480	1378010	620439	927856	1059890	891576	1139430	888106	1057270
"4965"	646900	902520	877290	558320	1479480	777980	1525890	872140	967600	640970
"4287"	341436	404980	531190	264869	411500	578290	373740	511340	282802	500670
"512"	3388150	2610210	5842490	1313014	2331670	2338530	2290530	3429960	1917210	2382120
"4169"	984960	367284	981300	539864	697449	1023330	791234	790197	548776	423259
"3781"	1473544	1756108	1713852	1660421	1592746	2366691	1719097	2197389	2022407	1694720
"5549"	1152119	1229049	1522608	608620	1022106	1040756	1134839	1272308	925266	1208121
"1430"	3281760	2206470	2903090	2895060	5019480	5948980	4990440	2733470	3582210	1449959
"197"	1107270	678620	1505550	1460720	2158960	2133180	1970290	1447720	1395930	592680
"1176"	33058.4	127670	62987	141268	28590.7	69431	35341.6	75859	120831	137629
"5192"	637038	716991	504853	295629.1	500957	531096	518275	495320	453335	544282
"1347"	88242380	66320363	70655043	25588528	38941179	42958135	41329738	61125583	54925064	67727572
"2221"	5897132	6602176	7738826	3682068	7809495	6956396	7827181	6435586	3308486	5992425
"4586"	3822390	4257730	4892890	1939020	4141287	4277570	4132907	4059670	2934850	2974402
"1283"	2243250	6204040	5153270	1380130	3595800	3300720	3523460	4184900	1398430	3787760
"2453"	4958731	8240854	4305409	6779308	6038774	4768985	5742903	4673043	4796161	3831044
"3416"	1715690	1389072	1965700	984603	1670430	1563400	1648910	1953150	1916220	1620550
"6224"	177404	190231	182447	264741.3	112488.5	176776	106828.2	187844	229443	195945
"1305"	9797290	4847822	9410540	5556070	12046170	10518280	12091550	7478120	8176220	3626890
"3309"	10181484	7067738	7180337	3974893	4752660	6356866	5284943	7594795	9764095	8378845
"2450"	375710	398980	238260	106000	466890	199720	432080	175480	252870	296270
"4585"	400852	435801	485493	370770	354573	431787	368605.1	486590	405327	516319
